Name,Price,Category,SubCategory,Quantity,Shelflife,expiry date
Premia Badam (Almonds),451,Grocery,Grocery/Dry Fruits,500 gm,140,18-08-2023
Nutraj California Almonds (Badam),599,Grocery,Dry Fruits,500 gm,165,12-09-2023
Chana Dal,49,Grocery,Dals,500 gm,60,30-05-2023
Rajma White,112,Grocery,Pulses,500 gm,445,18-06-2024
Rajma Kashmiri Red,101,Grocery,Pulses,500 gm,206,23-10-2023
Premia Mamra Badam,634,Grocery,Dry Fruits,200 gm,300,25-01-2024
Tata Sampann Chana Dal,64,Grocery,Dals,500 gm,287,12-01-2024
Rajma Red Small,61,Grocery,Pulses,500 gm,254,10-12-2023
Nutraj Almond,299,Grocery,Dry Fruits,200 gm,247,03-12-2023
Satyam Rajma Pink,149,Grocery,Pulses,500 gm,301,26-01-2024
KMK Almond Mamra (Badam),750,Grocery,Dry Fruits,200 gm,222,08-11-2023
DMart Healthy Choice Unpolished Chana Dal,117,Grocery,Dals,1 kg,56,26-05-2023
Satyam Rajma Sharmili,129,Grocery,Pulses,500 gm,178,25-09-2023
Satyam Chana Dal,77,Grocery,Dals,500 gm,50,20-05-2023
Tata Sampann 100% Organic Unpolished Chana Dal,190,Grocery,Dals,1 kg,48,18-05-2023
KMK Almond American (Badam),258,Grocery,Dry Fruits,200 gm,147,25-08-2023
Tata Sampann Organic Unpolished Rajma Red,142,Grocery,Pulses,500 gm,226,12-11-2023
DMart Premia Almonds Salted,200,Grocery,Grocery/Dry Fruits,100 gm,96,05-07-2023
ProV Select California Almonds,749,Grocery,Dry Fruits,500 gm,359,24-03-2024
ProV Select California Independence,1349,Grocery,Dry Fruits,1 kg,264,20-12-2023
Moong Dal,71,Grocery,Dals,500 gm,159,06-09-2023
Nutraj Cashews,699,Grocery,Dry Fruits,500 gm,241,27-11-2023
Premia Regular Kaju (Cashews) - 320,121,Grocery,Grocery/Dry Fruits,100 gm,189,06-10-2023
Moong Dal Chilti,70,Grocery,Dals,500 gm,121,30-07-2023
Tata Sampann Moong Dal,175,Grocery,Dals,1 kg,133,11-08-2023
Kalbavi Cashews (Kaju),650,Grocery,Dry Fruits,500 gm,170,17-09-2023
Premia Kaju Tukda (Cashews),129,Grocery,Grocery/Dry Fruits,100 gm,145,23-08-2023
Chowli Big,64,Grocery,Pulses,500 gm,156,03-09-2023
Chowli Premium,82,Grocery,Pulses,500 gm,346,11-03-2024
Premia Kaju,552,Grocery,Dry Fruits,500 gm,285,10-01-2024
Chowli Small,62,Grocery,Pulses,500 gm,179,26-09-2023
Premia Cashew Broken,537,Grocery,Dry Fruits,500 gm,188,05-10-2023
DMart Healthy Choice Unpolished Moong Dal,160,Grocery,Dals,1 kg,120,29-07-2023
Premia Kaju Special (Cashews),140,Grocery,Grocery/Dry Fruits,100 gm,200,17-10-2023
Kokan Gem Goa Cashew Classic (Kaju),650,Grocery,Dry Fruits,500 gm,226,12-11-2023
Kokan Gem Goa Cashew Premium (Kaju),750,Grocery,Dry Fruits,500 gm,214,31-10-2023
Tata Sampann Moong Chilka,84,Grocery,Dals,500 gm,251,07-12-2023
Chowli Red,77,Grocery,Pulses,500 gm,10,10-04-2023
Satyam Moong Dal,109,Grocery,Dals,500 gm,163,10-09-2023
Tata Sampann 100% Organic Unpolished Moong Dal,275,Grocery,Dals,1 kg,214,31-10-2023
KMK Cashew Nut (Kaju),325,Grocery,Dry Fruits,200 gm,300,25-01-2024
Premia Premium Kaju (Cashews) - 210,168,Grocery,Grocery/Dry Fruits,100 gm,246,02-12-2023
24 Mantra Organic Moong Dal,135,Grocery,Dals,500 gm,151,29-08-2023
Satyam Moong Chilti,100,Grocery,Dals,500 gm,187,04-10-2023
DMart Premia Cashews Salted,215,Grocery,Grocery/Dry Fruits,100 gm,249,05-12-2023
Kokan Gem Goa Cashews Tukda,550,Grocery,Dry Fruits,500 gm,199,16-10-2023
Satyam Chowla,126,Grocery,Pulses,500 gm,145,23-08-2023
Nutraj Broken Cashew,499,Grocery,Dry Fruits,400 gm,166,13-09-2023
Organic Tattva Moong Dal Whole,125,Grocery,Dals,500 gm,133,11-08-2023
DMart Premia Cashews Black Pepper,215,Grocery,Grocery/Dry Fruits,100 gm,178,25-09-2023
ProV Select Cashews,849,Grocery,Dry Fruits,500 gm,196,13-10-2023
Tur Dal Latur,78,Grocery,Dals,500 gm,614,04-12-2024
Tata Sampann Toor Dal,89,Grocery,Dals,500 gm,354,19-03-2024
Tur Dal Premium Gujarat,88,Grocery,Dals,500 gm,541,22-09-2024
Premia Pista Salty (Pistachio),184,Grocery,Grocery/Dry Fruits,100 gm,289,14-01-2024
DMart Healthy Choice Unpolished Toor Dal,184,Grocery,Dals,1 kg,365,30-03-2024
Premia Pista Plain (Pistachios),334,Grocery,Grocery/Dry Fruits,100 gm,149,27-08-2023
Tata Sampann 100% Organic Unpolished Toor Dal,260,Grocery,Dals,1 kg,354,19-03-2024
Nutraj Iranian Pistachios (Pista),449,Grocery,Dry Fruits,200 gm,188,05-10-2023
Nutraj Premium California Pistachios (Pista),379,Grocery,Dry Fruits,200 gm,175,22-09-2023
Premia Soyawadi,42,Grocery,Pulses,200 gm,233,19-11-2023
Satyam Tur (Toor) Dal,109,Grocery,Dals,500 gm,299,24-01-2024
Nutrela Soya Mini Chunks,60,Grocery,Pulses,200 gm,173,20-09-2023
Organic Tattva Arhar Tur Dal,270,Grocery,Dals,1 kg,415,19-05-2024
Toor Dal Plain,750,Grocery,Dals,5 kg,222,08-11-2023
Nutrela Soya Chunks,60,Grocery,Pulses,200 gm,187,04-10-2023
Toor Dal Oily,750,Grocery,Dals,5 kg,354,19-03-2024
24 Mantra Organic Tur Dal,260,Grocery,Dals,1 kg,333,27-02-2024
Premia Mini Soya Chunks,45,Grocery,Pulses,200 gm,203,20-10-2023
Nutrela Soya Granules,60,Grocery,Pulses,200 gm,189,06-10-2023
KMK Pista Magaz,540,Grocery,Dry Fruits,200 gm,151,29-08-2023
Satyam Toor Dal Oily,109,Grocery,Dals,500 gm,314,08-02-2024
Carnival Classic Pista Magaz,700,Grocery,Dry Fruits,250 gm,237,23-11-2023
Premia Soyabean,94,Grocery,Pulses,500 gm,156,03-09-2023
Carnival Classic California Pistachios,460,Grocery,Dry Fruits,250 gm,97,06-07-2023
KMK Pista Salted Irani (Pistachios),319,Grocery,Dry Fruits,200 gm,174,21-09-2023
Tuwar Whole,70,Grocery,Dals,500 gm,154,01-09-2023
Saffola Mealmaker Soya Chunks,60,Grocery,Pulses,200 gm,94,03-07-2023
Udid (Urad) Dal,88,Grocery,Dals,500 gm,333,27-02-2024
Desi Kabuli Chana,95,Grocery,Pulses,500 gm,364,29-03-2024
Udid,88,Grocery,Dals,500 gm,452,25-06-2024
Date Crown Fard (Khajur),234,Grocery,Grocery/Dry Fruits,500 gm,25,25-04-2023
Tata Sampann Urad Dal,90,Grocery,Dals,500 gm,298,23-01-2024
Emperor Dates - Deseeded Black Dates (Khajur),145,Grocery,Grocery/Dry Fruits,500 gm,45,15-05-2023
Satyam Kabuli Chana,129,Grocery,Pulses,500 gm,166,13-09-2023
Udid (Urad) Dal Chilti,81,Grocery,Dals,500 gm,354,19-03-2024
Falcon UAE Dates Seedless (Khajur),190,Grocery,Grocery/Dry Fruits,500 gm,31,01-05-2023
Premia Red Dried Dates (Kharik),51,Grocery,Grocery/Dry Fruits,100 gm,51,21-05-2023
Emperor Royal Peacock Seeded Dates (Khajur),125,Grocery,Grocery/Dry Fruits,500 gm,32,02-05-2023
Emperor Dates Iranian Muzafati,170,Grocery,Dry Fruits,400 gm,41,11-05-2023
24 Mantra Organic Kabuli Chana,145,Grocery,Pulses,500 gm,146,24-08-2023
Date Crown Bumaan Dates,140,Grocery,Grocery/Dry Fruits,500 gm,87,26-06-2023
Satyam Udid (Urad) Dal,123,Grocery,Dals,500 gm,278,03-01-2024
Apis Royal Zahidi Premium Dates,125,Grocery,Dry Fruits,500 gm,56,26-05-2023
King Solomon Medjoul Natural Dates,990,Grocery,Dry Fruits,500 gm,62,01-06-2023
Premia Black Dried Dates (Kharik),81,Grocery,Grocery/Dry Fruits,200 gm,81,20-06-2023
Falcon Safawi Dates,500,Grocery,Dry Fruits,500 gm,59,29-05-2023
Tata Sampann Organic Unpolished Kabuli Chana,147,Grocery,Pulses,500 gm,269,25-12-2023
Organic Tattva Kabuli Chana,145,Grocery,Pulses,500 gm,146,24-08-2023
Nutraj Dry Dates (Chuara-Khareek),249,Grocery,Dry Fruits,500 gm,77,16-06-2023
Falcon Aqaba Dates,135,Grocery,Grocery/Dry Fruits,500 gm,63,02-06-2023
King Solomon Oriental Dates,249,Grocery,Dry Fruits,250 gm,48,18-05-2023
Royal Delight Finest Oman Dates,249,Grocery,Dry Fruits,400 gm,57,27-05-2023
Shamim Iranian Wet Dates,200,Grocery,Dry Fruits,400 gm,61,31-05-2023
Emperor Premium Dates Zahidi,150,Grocery,Dry Fruits,500 gm,43,13-05-2023
Tata Sampann Organic Unpolished Urad Dal,142,Grocery,Dals,500 gm,522,03-09-2024
